formula_pretty,material_id,Cohesive_energy,Quality_index
TiRu3,mp-998947,6.44,5.18
TiMo,mp-998968,5.14,11.18
Ti3Ga,mp-998988,4.52,11.92
ScAl,mp-999206,3.97,11.72
NbCr3,mp-999392,4.62,5.95
NbCr3,mp-999393,4.46,4.32
Nb3Fe,mp-999395,6.73,9.99
Nb3Cr,mp-999439,6.61,4.92
Nb3Cr,mp-999441,6.44,6.25
Nb3Cr,mp-999446,6.25,5.32
MoPt,mp-999502,6.65,9.28
